customer_id,order_date,order_value
0,2024-03-08,117.64
0,2024-04-11,126.39
0,2024-05-16,144.38
0,2024-06-20,124.63
1,2023-08-17,189.27
2,2024-03-22,140.69
2,2024-04-09,149.82
2,2024-04-28,156.53
2,2024-05-16,156.0
2,2024-06-04,175.12
2,2024-06-23,192.74
3,2023-12-30,187.35
4,2024-06-12,207.4
4,2024-06-20,255.48
4,2024-06-29,233.84
4,2024-07-08,222.45
4,2024-07-17,178.77
4,2024-07-26,190.0
4,2024-08-04,200.45
4,2024-08-13,183.44
4,2024-08-22,215.34
4,2024-08-31,211.75
4,2024-09-09,175.62
4,2024-09-17,232.74
4,2024-09-26,205.38
4,2024-10-05,159.6
4,2024-10-14,201.54
4,2024-10-23,209.85
4,2024-11-01,227.14
4,2024-11-10,194.39
4,2024-11-19,223.52
4,2024-11-28,207.5
4,2024-12-07,169.95
4,2024-12-16,167.44
5,2024-02-04,126.14
6,2023-02-25,214.36
6,2023-05-01,174.48
6,2023-07-05,240.55
6,2023-09-09,210.67
6,2023-11-13,187.62
6,2024-01-17,180.56
6,2024-03-23,203.68
7,2023-08-21,192.25
7,2023-09-27,169.95
7,2023-11-03,176.38
7,2023-12-10,164.06
7,2024-01-16,178.96
7,2024-02-22,230.22
7,2024-03-31,217.61
8,2024-08-25,170.35
8,2024-09-16,177.49
8,2024-10-08,128.5
8,2024-10-30,147.31
8,2024-11-21,103.69
8,2024-12-13,177.32
9,2024-02-26,131.68
10,2024-06-20,138.54
10,2024-07-03,129.24
10,2024-07-17,110.67
10,2024-07-31,106.64
10,2024-08-14,126.02
10,2024-08-27,112.64
10,2024-09-10,95.15
10,2024-09-24,114.56
10,2024-10-08,131.37
10,2024-10-21,118.42
10,2024-11-04,87.54
10,2024-11-18,147.6
10,2024-12-02,54.41
11,2024-12-19,82.55
12,2023-07-06,195.89
13,2023-10-21,120.04
13,2023-11-09,210.35
13,2023-11-29,126.86
13,2023-12-18,173.32
13,2024-01-07,172.58
13,2024-01-26,169.72
13,2024-02-15,150.47
14,2024-07-09,84.73
15,2024-11-16,156.62
15,2024-11-17,121.1
15,2024-11-18,149.2
15,2024-11-19,130.92
15,2024-11-21,107.36
15,2024-11-22,123.23
15,2024-11-23,122.19
15,2024-11-25,112.26
16,2023-11-06,165.94
17,2024-10-05,196.61
17,2024-10-11,224.54
17,2024-10-17,236.51
17,2024-10-23,185.21
17,2024-10-29,181.7
17,2024-11-04,258.85
17,2024-11-10,225.78
17,2024-11-16,206.51
17,2024-11-22,193.64
17,2024-11-28,204.23
17,2024-12-04,187.22
17,2024-12-10,239.07
17,2024-12-16,197.57
17,2024-12-22,244.33
17,2024-12-29,206.97
18,2023-04-07,134.93
18,2023-07-19,133.69
18,2023-10-30,158.57
18,2024-02-11,90.79
19,2023-12-11,281.01
20,2024-05-21,158.77
20,2024-05-21,213.38
20,2024-05-21,176.28
20,2024-05-22,154.27
21,2023-12-13,159.57
21,2024-01-25,104.96
21,2024-03-08,96.99
21,2024-04-21,184.48
21,2024-06-03,172.76
21,2024-07-16,123.93
21,2024-08-29,150.09
21,2024-10-11,175.65
21,2024-11-24,160.65
22,2024-01-05,75.44
23,2024-12-25,83.96
24,2023-08-14,158.77
24,2023-10-18,131.7
24,2023-12-23,177.96
24,2024-02-27,133.51
24,2024-05-03,152.46
25,2024-08-05,183.02
25,2024-08-17,143.82
25,2024-08-30,191.24
25,2024-09-11,148.79
25,2024-09-24,159.52
25,2024-10-06,208.59
25,2024-10-19,153.81
25,2024-10-31,191.71
25,2024-11-13,161.72
25,2024-11-25,171.13
25,2024-12-08,162.49
26,2023-09-16,206.27
27,2024-10-17,198.47
27,2024-10-21,221.75
27,2024-10-25,236.61
27,2024-10-29,179.59
27,2024-11-02,185.64
27,2024-11-06,168.08
27,2024-11-10,254.75
27,2024-11-14,211.61
27,2024-11-18,215.98
27,2024-11-22,170.48
27,2024-11-26,203.96
27,2024-11-30,216.72
27,2024-12-04,197.67
27,2024-12-08,230.88
27,2024-12-12,261.78
27,2024-12-16,180.31
27,2024-12-20,178.44
27,2024-12-24,182.04
28,2023-12-02,182.18
28,2024-01-24,160.86
28,2024-03-17,203.52
28,2024-05-10,171.77
28,2024-07-02,174.77
28,2024-08-25,196.49
28,2024-10-17,176.57
28,2024-12-10,175.4
29,2023-12-28,221.8
30,2023-09-17,182.14
30,2023-12-13,169.44
30,2024-03-10,203.48
31,2024-09-07,46.23
32,2024-05-04,146.68
32,2024-06-27,169.02
32,2024-08-21,141.27
32,2024-10-15,136.72
32,2024-12-09,111.27
33,2024-02-15,116.21
33,2024-04-30,136.9
33,2024-07-14,142.31
33,2024-09-27,160.73
33,2024-12-11,161.93
34,2024-01-27,203.58
35,2024-02-25,93.41
35,2024-03-22,138.28
35,2024-04-18,175.09
35,2024-05-14,116.44
35,2024-06-10,135.51
35,2024-07-06,102.86
35,2024-08-02,176.14
35,2024-08-28,133.38
35,2024-09-24,136.62
35,2024-10-20,169.32
35,2024-11-16,152.0
35,2024-12-13,113.57
36,2024-02-19,149.24
36,2024-04-07,111.92
36,2024-05-26,163.52
36,2024-07-14,127.84
36,2024-08-31,205.25
36,2024-10-19,169.27
36,2024-12-07,142.22
37,2024-03-06,39.15
38,2024-07-07,214.65
38,2024-07-24,206.15
38,2024-08-10,193.04
38,2024-08-28,268.45
38,2024-09-14,212.23
38,2024-10-02,269.84
38,2024-10-19,251.79
38,2024-11-06,173.43
38,2024-11-23,200.3
38,2024-12-11,200.23
39,2024-03-11,250.12
40,2023-07-20,130.78
41,2023-10-01,187.86
41,2023-11-03,158.99
41,2023-12-06,187.77
41,2024-01-09,197.9
42,2023-03-26,201.23
42,2023-08-25,179.59
42,2024-01-25,148.51
43,2024-11-28,149.72
43,2024-11-30,131.45
43,2024-12-03,120.02
43,2024-12-06,113.71
43,2024-12-08,102.13
43,2024-12-11,137.54
43,2024-12-14,106.67
44,2024-01-05,148.74
44,2024-02-27,157.75
44,2024-04-21,125.51
44,2024-06-14,128.32
45,2024-02-27,106.87
45,2024-04-03,156.35
45,2024-05-10,148.54
45,2024-06-16,141.48
46,2024-02-27,100.48
46,2024-04-09,115.95
46,2024-05-22,100.36
46,2024-07-04,91.9
46,2024-08-16,83.8
46,2024-09-28,99.86
46,2024-11-10,82.89
46,2024-12-23,112.38
47,2024-04-11,184.87
47,2024-05-04,118.1
47,2024-05-28,127.79
47,2024-06-21,111.69
47,2024-07-15,142.15
47,2024-08-08,115.35
47,2024-08-31,129.11
47,2024-09-24,154.97
47,2024-10-18,116.28
47,2024-11-11,153.47
47,2024-12-05,154.31
48,2024-06-26,269.46
49,2024-05-12,157.32
49,2024-06-04,195.4
49,2024-06-27,202.48
49,2024-07-20,196.7
49,2024-08-12,179.38
49,2024-09-04,128.35
49,2024-09-27,171.93
49,2024-10-20,128.71
49,2024-11-12,122.56
49,2024-12-06,165.73
50,2024-10-31,189.53
50,2024-11-03,190.39
50,2024-11-06,152.48
50,2024-11-10,174.48
50,2024-11-13,139.42
50,2024-11-17,127.02
50,2024-11-20,195.62
50,2024-11-23,158.27
50,2024-11-27,198.91
50,2024-11-30,204.81
50,2024-12-04,161.62
51,2024-09-19,176.64
51,2024-09-25,161.78
51,2024-10-02,162.55
51,2024-10-09,222.94
51,2024-10-16,135.41
51,2024-10-23,183.13
51,2024-10-30,148.68
51,2024-11-06,196.26
51,2024-11-12,181.01
51,2024-11-19,183.04
51,2024-11-26,149.93
51,2024-12-03,154.41
51,2024-12-10,196.73
51,2024-12-17,217.82
51,2024-12-24,185.56
51,2024-12-31,151.12
52,2024-03-03,254.66
52,2024-03-22,288.64
52,2024-04-11,233.59
52,2024-05-01,251.05
53,2023-06-20,184.68
54,2023-12-19,232.33
54,2024-01-07,239.63
54,2024-01-26,197.9
54,2024-02-15,186.75
55,2023-08-01,158.96
55,2023-09-28,157.68
55,2023-11-25,195.82
55,2024-01-23,179.09
55,2024-03-21,182.86
55,2024-05-19,210.34
56,2023-11-19,211.5
57,2024-05-12,183.52
58,2024-11-13,165.48
58,2024-11-15,175.35
58,2024-11-18,104.43
58,2024-11-20,137.95
58,2024-11-23,138.76
58,2024-11-25,134.48
58,2024-11-28,134.76
58,2024-11-30,132.38
58,2024-12-03,166.97
58,2024-12-05,152.35
58,2024-12-08,98.28
59,2024-11-19,243.57
59,2024-11-22,263.98
59,2024-11-25,240.4
59,2024-11-28,240.71
59,2024-12-01,238.73
59,2024-12-04,185.24
59,2024-12-07,233.68
59,2024-12-10,218.99
59,2024-12-13,206.03
59,2024-12-16,271.55
59,2024-12-19,248.3
59,2024-12-22,234.95
59,2024-12-25,221.57
59,2024-12-28,243.1
59,2024-12-31,260.48
60,2023-06-30,167.91
61,2024-04-21,62.4
62,2023-09-28,159.43
63,2023-10-23,239.24
63,2023-12-02,281.81
63,2024-01-11,218.19
63,2024-02-20,277.31
63,2024-03-31,232.08
63,2024-05-10,276.49
64,2024-06-21,223.37
65,2024-02-19,164.99
66,2024-04-10,213.92
67,2024-10-18,167.29
67,2024-10-24,173.11
67,2024-10-30,125.8
67,2024-11-05,125.76
67,2024-11-11,151.96
67,2024-11-17,180.66
67,2024-11-23,171.13
67,2024-11-29,111.18
67,2024-12-05,135.87
67,2024-12-11,119.21
67,2024-12-17,135.79
67,2024-12-24,182.59
68,2024-06-26,142.43
68,2024-07-02,150.76
68,2024-07-09,146.18
68,2024-07-16,164.64
68,2024-07-23,91.17
68,2024-07-30,164.95
68,2024-08-06,127.44
68,2024-08-13,153.53
68,2024-08-20,102.16
68,2024-08-27,135.37
68,2024-09-03,141.15
68,2024-09-10,164.14
68,2024-09-17,95.61
68,2024-09-24,136.01
68,2024-09-30,108.11
68,2024-10-07,147.88
68,2024-10-14,154.68
68,2024-10-21,167.42
68,2024-10-28,121.87
68,2024-11-04,158.43
68,2024-11-11,169.27
68,2024-11-18,94.16
68,2024-11-25,150.55
68,2024-12-02,159.21
68,2024-12-09,128.78
68,2024-12-16,104.98
68,2024-12-23,158.82
69,2024-05-01,107.03
70,2024-07-29,114.09
70,2024-08-11,133.67
70,2024-08-24,156.36
70,2024-09-07,188.39
70,2024-09-20,93.51
70,2024-10-04,139.08
70,2024-10-17,104.04
70,2024-10-31,156.67
70,2024-11-13,107.74
70,2024-11-27,114.33
71,2024-11-25,159.81
71,2024-11-27,147.57
71,2024-11-29,114.47
71,2024-12-02,165.91
71,2024-12-04,146.39
71,2024-12-07,176.76
71,2024-12-09,130.02
71,2024-12-11,107.66
71,2024-12-14,146.86
71,2024-12-16,180.11
71,2024-12-19,151.74
